ID,Tên,Phân loại,Mã loại,Cấp,Giới tính,Tbi 2,Mô tả
0,Đá cấp 1,Pha lê,26,1,Cả hai,,"Đá vụn, dùng nâng cấp trang bị"
1,Đá cấp 2,Pha lê,26,1,Cả hai,,"Đá thường, dùng nâng cấp trang bị"
2,Đá cấp 3,Pha lê,26,1,Cả hai,,"Đá tì vết, dùng nâng cấp trang bị"
3,Đá cấp 4,Pha lê,26,1,Cả hai,,"Đá hoàn thiện, trông rất đẹp"
4,Đá cấp 5,Pha lê,26,1,Cả hai,,"Đá tự nhiên, ở sâu trong lòng đất"
5,Đá cấp 6,Pha lê,26,1,Cả hai,,"Đá tinh khiết, không bị lẫn tạp chất"
6,Đá cấp 7,Pha lê,26,1,Cả hai,,"Đá lâu năm, cực kỳ rắn chắc"
7,Đá cấp 8,Pha lê,26,1,Cả hai,,"Đá óng ánh, có thể phát sáng"
8,Đá cấp 9,Pha lê,26,1,Cả hai,,"Đá tinh xảo, giá trị không rẻ"
9,Đá cấp 10,Pha lê,26,1,Cả hai,,"Đá ngũ sắc, phát quang nhiều màu"
10,Đá cấp 11,Pha lê,26,1,Cả hai,,"Đá toàn mỹ, thế gian khó tìm"
11,Đá cấp 12,Pha lê,26,1,Cả hai,,"Đá thiên thạch, không rõ nguồn gốc"
12,Yên,Tiền,19,1,Cả hai,,
13,Bình HP cực tiểu,Thuốc HP,16,1,Cả hai,,"Nữa giây phục hồi 25 HP, duy trì 3 giây"
14,Bình HP tiểu,Thuốc HP,16,10,Cả hai,,"Nữa giây phục hồi 90 HP, duy trì 3 giây"
15,Bình HP vừa,Thuốc HP,16,30,Cả hai,,"Nữa giây phục hồi 230 HP, duy trì 3 giây"
16,Bình HP lớn,Thuốc HP,16,50,Cả hai,,"Nữa giây phục hồi 400 HP, duy trì 3 giây"
17,Bình HP cực lớn,Thuốc HP,16,70,Cả hai,,"Nữa giây phục hồi 650 HP, duy trì 3 giây"
18,Bình MP cực tiểu,Thuốc MP,17,1,Cả hai,,Phục hồi 150 MP
19,Bình MP tiểu,Thuốc MP,17,10,Cả hai,,Phục hồi 500 MP
20,Bình MP vừa,Thuốc MP,17,30,Cả hai,,Phục hồi 1000 MP
21,Bình MP lớn,Thuốc MP,17,50,Cả hai,,Phục hồi 2000 MP
22,Bình MP cực lớn,Thuốc MP,17,70,Cả hai,,Phục hồi 3500 MP
23,Cơm nắm,Đồ ăn,18,1,Cả hai,,"Nữa giây phục hồi 3 HP, MP duy trì 30 phút"
24,Tempura,Đồ ăn,18,10,Cả hai,,"Nữa giây phục hồi 20 HP, MP duy trì 30 phút"
25,Katsudon,Đồ ăn,18,20,Cả hai,,"Nữa giây phục hồi 30 HP, MP duy trì 30 phút"
26,Sashimi,Đồ ăn,18,30,Cả hai,,"Nữa giây phục hồi 40 HP, MP duy trì 30 phút"
27,Gà quay,Đồ ăn,18,40,Cả hai,,"Nữa giây phục hồi 50 HP, MP duy trì 30 phút"
28,Nhân sâm ngàn năm,Vật phẩm thường,27,1,Cả hai,,Tăng 10% kinh nghiệm của level hiện tại
29,Đùi heo sữa,Đồ ăn,18,50,Cả hai,,"Nữa giây phục hồi 60 HP, MP duy trì 30 phút"
30,Đùi heo sữa cao cấp,Đồ ăn,18,50,Cả hai,,"Nữa giây phục hồi 60 HP, MP duy trì 3 ngày"
31,quần xanh nam,Quần,6,1,Nam,,
32,quần đỏ nam,Quần,6,1,Nam,,
33,quần vàng nam,Quần,6,1,Nam,,
34,Bách biến lệnh,Vật phẩm thường,27,1,Cả hai,,Di chuyển nhanh về tọa độ mặc định
35,Khả di lệnh,Vật phẩm thường,27,1,Cả hai,,"Di chuyển nhanh qua các làng, trường"
36,Vô hạn bách biến lệnh,Vật phẩm thường,27,1,Cả hai,,Di chuyển nhanh về tọa độ mặc định
