ID,Tên,Cấp món,Nhóm,STT khi NV cấp 40,STT khi NV cấp 60,STT khi NV cấp 80,STT khi NV cấp 100,STT khi NV cấp 103,STT khi NV cấp 109
94,Bạch Hạc Kiếm,10,cửa hàng,0,0,0,0,0,0
95,Đả Lôi Kiếm,20,cửa hàng,1,1,1,1,1,1
96,Trấn Ma Kiếm,30,cửa hàng,2,2,2,2,2,2
97,Sinh Tử Kiếm,40,cửa hàng,3,3,3,3,3,3
98,Mộ Danh Kiếm,50,cửa hàng,,4,4,4,4,4
99,Hắc Nanh Dao,10,cửa hàng,4,5,5,5,5,5
100,Xà Nhãn Dao,20,cửa hàng,5,6,6,6,6,6
101,Hộ Công Dao,30,cửa hàng,6,7,7,7,7,7
102,Vô Ảnh Dao,40,cửa hàng,7,8,8,8,8,8
103,Phượng Hoàng Dao,50,cửa hàng,,9,9,9,9,9
104,Trãm Mã Đao,10,cửa hàng,8,10,10,10,10,10
105,Trãm Hổ Đao,20,cửa hàng,9,11,11,11,11,11
106,Khổng Đao,30,cửa hàng,10,12,12,12,12,12
107,Nộ Thiên Đao,40,cửa hàng,11,13,13,13,13,13
108,Thanh Long Đao,50,cửa hàng,,14,14,14,14,14
114,Phàm Ý Tiêu,10,cửa hàng,12,15,15,15,15,15
115,Ưng nhãn Tiêu,20,cửa hàng,13,16,16,16,16,16
116,Mạc Sầu Tiêu,30,cửa hàng,14,17,17,17,17,17
117,Triệt Tà Tiêu,40,cửa hàng,15,18,18,18,18,18
118,Nhất Dương Tiêu,50,cửa hàng,,19,19,19,19,19
109,Minh Nguyệt Cung,10,cửa hàng,16,20,20,20,20,20
110,Đằng Vân Cung,20,cửa hàng,17,21,21,21,21,21
111,Phụng Tiễn Cung,30,cửa hàng,18,22,22,22,22,22
112,Trác Tâm Cung,40,cửa hàng,19,23,23,23,23,23
113,Thiên Ý Cung,50,cửa hàng,,24,24,24,24,24
119,Phong Ý Quạt,10,cửa hàng,20,25,25,25,25,25
120,Vũ Đan Quạt,20,cửa hàng,21,26,26,26,26,26
121,Phong Linh Quạt,30,cửa hàng,22,27,27,27,27,27
122,Vấn Thiên Quạt,40,cửa hàng,23,28,28,28,28,28
123,Phong Vũ Lôi Quạt,50,cửa hàng,,29,29,29,29,29
331,Ly Hỏa kiếm,60,cửa hàng,,30,30,30,30,30
332,Thái dương tiêu,60,cửa hàng,,31,31,31,31,31
333,Long khảm Dao,60,cửa hàng,,32,32,32,32,32
334,Đoạt tâm cung,60,cửa hàng,,33,33,33,33,33
335,Chấn thiên Đao,60,cửa hàng,,34,34,34,34,34
336,Âm phong quạt,60,cửa hàng,,35,35,35,35,35
369,Thiên hỏa kiếm,70,cửa hàng,,,36,36,36,36
370,Hỏa phong tiêu,70,cửa hàng,,,37,37,37,37
371,Thủy chấn dao,70,cửa hàng,,,38,38,38,38
372,Băng thần cung,70,cửa hàng,,,39,39,39,39
373,Đồ thần đao,70,cửa hàng,,,40,40,40,40
374,Âm dương quạt,70,cửa hàng,,,41,41,41,41
506,Huyết Ẩm Kiếm,80,cửa hàng,,,42,42,42,42
507,Thiêu Thủy Tiêu,80,cửa hàng,,,43,43,43,43
508,Lệ Hàn Dao,80,cửa hàng,,,44,44,44,44
509,Đại Hàn Cung,80,cửa hàng,,,45,45,45,45
510,Diệt Ma Đao,80,cửa hàng,,,46,46,46,46
511,Linh Phong Quạt,80,cửa hàng,,,47,47,47,47
189,Dây Chuyền Bạc,18,cửa hàng,24,36,48,48,48,48
190,Dây Chuyền Bạch Kim,28,cửa hàng,25,37,49,49,49,49
191,Dây Chuyền Vàng,38,cửa hàng,26,38,50,50,50,50
192,Dây Chuyền Lục Bảo,48,cửa hàng,,39,51,51,51,51
193,Dây Chuyền Hồng Bảo,58,cửa hàng,,40,52,52,52,52
189,Dây Chuyền Bạc,18,cửa hàng,27,41,53,53,53,53
190,Dây Chuyền Bạch Kim,28,cửa hàng,28,42,54,54,54,54
191,Dây Chuyền Vàng,38,cửa hàng,29,43,55,55,55,55
192,Dây Chuyền Lục Bảo,48,cửa hàng,,44,56,56,56,56
193,Dây Chuyền Hồng Bảo,58,cửa hàng,,45,57,57,57,57
189,Dây Chuyền Bạc,18,cửa hàng,30,46,58,58,58,58
190,Dây Chuyền Bạch Kim,28,cửa hàng,31,47,59,59,59,59
191,Dây Chuyền Vàng,38,cửa hàng,32,48,60,60,60,60
192,Dây Chuyền Lục Bảo,48,cửa hàng,,49,61,61,61,61
193,Dây Chuyền Hồng Bảo,58,cửa hàng,,50,62,62,62,62
324,Dây Chuyền Huyền Kỹ,68,cửa hàng,,,63,63,63,63
324,Dây Chuyền Huyền Kỹ,68,cửa hàng,,,64,64,64,64
324,Dây Chuyền Huyền Kỹ,68,cửa hàng,,,65,65,65,65
362,Dây Chuyền Bạch ngân,78,cửa hàng,,,66,66,66,66
362,Dây Chuyền Bạch ngân,78,cửa hàng,,,67,67,67,67
362,Dây Chuyền Bạch ngân,78,cửa hàng,,,68,68,68,68
505,Dây Chuyền Hắc Tử,85,cửa hàng,,,,69,69,69
505,Dây Chuyền Hắc Tử,85,cửa hàng,,,,70,70,70
505,Dây Chuyền Hắc Tử,85,cửa hàng,,,,71,71,71
184,Nhẫn Bạc,16,cửa hàng,33,51,69,72,72,72
185,Nhẫn Mắt Mèo,26,cửa hàng,34,52,70,73,73,73
186,Nhẫn Thạch Lam,36,cửa hàng,35,53,71,74,74,74
187,Nhẫn Opal,46,cửa hàng,,54,72,75,75,75
188,Nhẫn Kim cương,56,cửa hàng,,55,73,76,76,76
184,Nhẫn Bạc,16,cửa hàng,36,56,74,77,77,77
185,Nhẫn Mắt Mèo,26,cửa hàng,37,57,75,78,78,78
186,Nhẫn Thạch Lam,36,cửa hàng,38,58,76,79,79,79
187,Nhẫn Opal,46,cửa hàng,,59,77,80,80,80
188,Nhẫn Kim cương,56,cửa hàng,,60,78,81,81,81
184,Nhẫn Bạc,16,cửa hàng,39,61,79,82,82,82
185,Nhẫn Mắt Mèo,26,cửa hàng,40,62,80,83,83,83
186,Nhẫn Thạch Lam,36,cửa hàng,41,63,81,84,84,84
187,Nhẫn Opal,46,cửa hàng,,64,82,85,85,85
188,Nhẫn Kim cương,56,cửa hàng,,65,83,86,86,86
322,Nhẫn Huyền Kỹ,66,cửa hàng,,,84,87,87,87
322,Nhẫn Huyền Kỹ,66,cửa hàng,,,85,88,88,88
322,Nhẫn Huyền Kỹ,66,cửa hàng,,,86,89,89,89
360,Nhẫn Bạch ngân,76,cửa hàng,,,87,90,90,90
360,Nhẫn Bạch ngân,76,cửa hàng,,,88,91,91,91
360,Nhẫn Bạch ngân,76,cửa hàng,,,89,92,92,92
504,Nhẫn Hắc Tử,85,cửa hàng,,,,93,93,93
504,Nhẫn Hắc Tử,85,cửa hàng,,,,94,94,94
504,Nhẫn Hắc Tử,85,cửa hàng,,,,95,95,95
179,Cẩm Thạch Bội ,14,cửa hàng,42,66,90,96,96,96
180,Phỉ Thúy Bội,24,cửa hàng,43,67,91,97,97,97
181,Bạch Ngọc Bội ,34,cửa hàng,44,68,92,98,98,98
182,Ngọc Bội Hổ Phách,44,cửa hàng,,69,93,99,99,99
183,Thạch Anh Bội ,54,cửa hàng,,70,94,100,100,100
179,Cẩm Thạch Bội ,14,cửa hàng,45,71,95,101,101,101
180,Phỉ Thúy Bội,24,cửa hàng,46,72,96,102,102,102
181,Bạch Ngọc Bội ,34,cửa hàng,47,73,97,103,103,103
182,Ngọc Bội Hổ Phách,44,cửa hàng,,74,98,104,104,104
183,Thạch Anh Bội ,54,cửa hàng,,75,99,105,105,105
179,Cẩm Thạch Bội ,14,cửa hàng,48,76,100,106,106,106
180,Phỉ Thúy Bội,24,cửa hàng,49,77,101,107,107,107
181,Bạch Ngọc Bội ,34,cửa hàng,50,78,102,108,108,108
182,Ngọc Bội Hổ Phách,44,cửa hàng,,79,103,109,109,109
183,Thạch Anh Bội ,54,cửa hàng,,80,104,110,110,110
320,Huyền Kỹ Bội,64,cửa hàng,,,105,111,111,111
320,Huyền Kỹ Bội,64,cửa hàng,,,106,112,112,112
320,Huyền Kỹ Bội,64,cửa hàng,,,107,113,113,113
